,fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
3,28,28,Male,7,2021,68,16,2,24.891298,24.884998,15.224999,0.12115332,19.51923,10,15.0,White,Unknown,0,Part-time (50-1749 hours),0,28,Female,7,2021,66,16,2,24.891298,24.884998,9.6599998,0.12115332,18.576921,80,10.0,White,Unknown,0,Part-time (50-1749 hours),0
8,59,59,Male,15,2021,30,14,2,150.14999,146.99998,115.49999,60.577099,48.124996,2,46.153847,Black,Unknown,1,Full-time (1750+ hours),0,59,Female,15,2021,34,12,2,150.14999,146.99998,31.499998,60.577099,33.510635,10,18.076923,Black,No,1,Part-time (50-1749 hours),0
9,69,69,Male,18,2021,51,16,3,130.31969,126.89459,100.59734,65.867203,52.394451,2,36.923077,White,Yes,1,Full-time (1750+ hours),0,69,Female,18,2021,53,17,3,130.31969,126.89459,26.297249,65.867203,102.72363,2,4.9230771,White,Yes,1,Part-time (50-1749 hours),0
11,74,74,Male,19,2021,44,16,3,318.47339,318.14996,220.49998,6.219717,88.911285,6,47.692307,White,Yes,1,Full-time (1750+ hours),0,74,Female,19,2021,41,16,3,318.47339,318.14996,97.649994,6.219717,39.375,10,47.692307,White,Yes,1,Full-time (1750+ hours),0
12,83,83,Male,21,2021,32,16,2,279.82498,279.29999,160.64999,10.096037,64.259995,6,48.076923,White,Yes,1,Full-time (1750+ hours),0,83,Female,21,2021,31,16,2,279.82498,279.29999,118.64999,10.096037,52.73333,9,43.26923,White,Yes,1,Full-time (1750+ hours),0
17,120,120,Male,30,2021,57,17,2,253.10249,251.99998,122.84999,21.202087,54.382469,8,43.442307,Other,Unknown,1,Full-time (1750+ hours),0,120,Female,30,2021,53,17,2,253.10249,251.99998,129.14999,21.202087,57.17131,10,43.442307,Other,Yes,1,Full-time (1750+ hours),0
18,125,125,Male,32,2021,41,12,2,61.949997,61.949997,29.399998,0.0,14.699999,2,38.46154,White,No,1,Full-time (1750+ hours),0,125,Female,32,2021,35,17,2,61.949997,61.949997,32.549999,0.0,19.871794,6,31.5,White,No,1,Part-time (50-1749 hours),0
23,183,183,Male,46,2021,44,17,4,108.56999,108.14999,67.199997,8.0768881,37.354084,12,34.596153,White,Yes,1,Full-time (1750+ hours),0,183,Female,46,2021,42,13,4,108.56999,108.14999,40.949997,8.0768881,25.277777,20,31.153847,White,No,1,Part-time (50-1749 hours),0
24,192,192,Male,48,2021,46,17,4,161.7,149.09999,104.99999,242.30782,44.025154,20,45.865383,Other,Yes,1,Full-time (1750+ hours),0,192,Female,48,2021,44,16,4,161.7,149.09999,44.099998,242.30782,18.846153,20,45.0,Other,Yes,1,Full-time (1750+ hours),0
26,234,234,Male,59,2021,38,12,4,136.185,115.49999,62.999996,397.78857,45.652172,1,26.538462,White,No,1,Part-time (50-1749 hours),0,234,Female,59,2021,38,15,4,136.185,115.49999,52.499996,397.78857,82.03125,10,12.307693,White,No,1,Part-time (50-1749 hours),0
30,271,271,Male,68,2021,31,16,2,86.099998,86.099998,44.099998,0.0,18.560606,8,45.692307,White,Yes,1,Full-time (1750+ hours),0,271,Female,68,2021,35,17,2,86.099998,86.099998,42.0,0.0,33.333332,12,24.23077,White,Yes,1,Part-time (50-1749 hours),0
33,293,293,Male,74,2021,28,16,3,73.216499,64.2285,36.75,172.84613,18.175074,4,38.884617,White,Yes,1,Full-time (1750+ hours),0,293,Female,74,2021,26,16,3,73.216499,64.2285,27.478498,172.84613,15.333983,4,34.46154,White,Yes,1,Full-time (1750+ hours),0
