fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
7,7,Male,2,2019,40,16,4,190.78201,170.64001,98.280006,387.34613,36.467533,10,51.826923,White,Yes,1,Full-time (1750+ hours),0,7,Female,2,2019,40,17,4,190.78201,170.64001,72.360001,387.34613,26.000719,10,53.51923,White,Yes,1,Full-time (1750+ hours),0
20,20,Male,5,2023,32,14,2,96.599998,96.600006,78.200005,-.00014671913,31.918367,4,47.115383,Black,Unknown,1,Full-time (1750+ hours),0,20,Female,5,2023,36,12,2,96.599998,96.600006,18.4,-.00014671913,11.471322,7,30.846153,Black,No,1,Part-time (50-1749 hours),0
24,24,Male,6,2023,48,17,4,102.8652,102.856,101.2,.17694327,65.37468,5,29.76923,Other,Unknown,1,Part-time (50-1749 hours),0,24,Female,6,2023,45,17,4,102.8652,102.856,1.656,.17694327,9.4628572,15,3.3653846,Other,Unknown,1,Part-time (50-1749 hours),0
28,28,Male,7,2021,68,16,2,24.891298,24.884998,15.224999,.12115332,19.51923,10,15,White,Unknown,0,Part-time (50-1749 hours),0,28,Female,7,2021,66,16,2,24.891298,24.884998,9.6599998,.12115332,18.576921,80,10,White,Unknown,0,Part-time (50-1749 hours),0
32,32,Male,8,2017,58,12,2,46.567299,46.556,25.086,.21729103,14.334857,2,33.653847,White,No,1,Full-time (1750+ hours),0,32,Female,8,2017,57,12,2,46.567299,46.556,21.469999,.21729103,11.044239,4,37.384617,White,No,1,Full-time (1750+ hours),0
35,35,Male,9,2023,37,14,4,311.51199,313.72,184,-42.461689,102.50697,5,34.51923,White,Yes,1,Full-time (1750+ hours),0,35,Female,9,2023,38,16,4,311.51199,313.72,129.72,-42.461689,73.205421,8,34.076923,White,Yes,1,Full-time (1750+ hours),0
40,40,Male,10,2023,40,3,3,69,69,37.720001,0,12.573334,2,57.692307,Other,Unknown,1,Full-time (1750+ hours),0,40,Female,10,2023,39,8,3,69,69,31.280001,0,15.64,4,38.46154,Other,Unknown,1,Full-time (1750+ hours),0
56,56,Male,14,2023,39,16,2,105.01801,105.01801,57.479759,0,28.942478,5,38.192307,Other,Yes,1,Full-time (1750+ hours),0,56,Female,14,2023,33,13,2,105.01801,105.01801,47.538242,0,24.057814,5,38,Other,No,1,Full-time (1750+ hours),0
59,59,Male,15,2021,30,14,2,150.14999,146.99998,115.49999,60.577099,48.124996,2,46.153847,Black,Unknown,1,Full-time (1750+ hours),0,59,Female,15,2021,34,12,2,150.14999,146.99998,31.499998,60.577099,33.510635,10,18.076923,Black,No,1,Part-time (50-1749 hours),0
69,69,Male,18,2021,51,16,3,130.31969,126.89459,100.59734,65.867203,52.394451,2,36.923077,White,Yes,1,Full-time (1750+ hours),0,69,Female,18,2021,53,17,3,130.31969,126.89459,26.297249,65.867203,102.72363,2,4.9230771,White,Yes,1,Part-time (50-1749 hours),0
